Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638823,8.942745,457.6000061,1.71,12.613,0.051
100,2,48.638823,8.942745,457.6000061,1.636,12.614,0.026
200,2,48.638823,8.942745167,457.6000061,0.018,12.615,0.023
300,2,48.638822833,8.942745333,457.6000061,-0.042,12.615,0.02
400,2,48.638822833,8.942745333,457.6000061,0.005,12.614,0.021
500,2,48.638823,8.942745167,457.6000061,-0.026,12.614,0.01
600,2,48.638823,8.942745167,457.6000061,0.026,12.615,0.02
700,2,48.638823,8.942745333,457.6000061,-0.048,12.615,0.018
800,2,48.638823,8.942745167,457.6000061,0.151,12.614,0.021
900,2,48.638823,8.942745333,457.6000061,0.079,12.614,0.022
1000,2,48.638823,8.942745333,457.6000061,0.037,12.614,0.015
1100,2,48.638823,8.942745333,457.6000061,0.048,12.615,0.009
1200,2,48.638823,8.942745333,457.6000061,0.003,12.614,0.009
1300,2,48.638823,8.942745333,457.6000061,-0.011,12.614,0.01
1500,2,48.638823,8.942745333,457.6000061,-0.032,12.614,0.02
1600,2,48.638823,8.942745167,457.6000061,0.029,12.615,0.024
1700,2,48.638823,8.942745167,457.6000061,0.024,12.615,0.026
1900,2,48.638823,8.942745167,457.6000061,-0.069,12.613,0.029
2100,2,48.638822833,8.942745167,457.6000061,0.026,12.613,0.029
2200,2,48.638822833,8.942745,457.6000061,0.071,12.615,0.025
2300,2,48.638822833,8.942745,457.6000061,-0.021,12.613,0.018
2500,2,48.638823,8.942745,457.5,-0.026,12.614,0.017
2600,2,48.638822833,8.942745,457.5,0.045,12.615,0.019
2700,2,48.638822833,8.942745,457.5,0.005,12.615,0.015
2800,2,48.638822833,8.942745,457.5,0.037,12.615,0.016
3000,2,48.638822667,8.942745167,457.6000061,0.058,12.614,0.02
3100,2,48.638822667,8.942745167,457.5,-0.095,12.614,0.018
3300,2,48.638822667,8.942745167,457.5,-0.053,12.613,0.033
3500,2,48.638822667,8.942745167,457.5,0.071,12.613,0.036
3600,2,48.638822667,8.942745333,457.5,0.087,12.614,0.027
3700,2,48.638822667,8.942745167,457.5,0.071,12.614,0.022
3900,2,48.638822833,8.942745,457.5,0.037,12.613,0.033
4000,2,48.638822833,8.942745,457.6000061,0.013,12.612,0.034
4100,2,48.638822667,8.942745,457.6000061,0.082,12.613,0.028
4200,2,48.638822667,8.942745,457.6000061,0.026,12.614,0.021
4400,2,48.638822667,8.942745,457.6000061,-0.016,12.613,0.024
4600,2,48.638822667,8.942745167,457.6000061,0.085,12.614,0.024
4700,2,48.638822667,8.942745167,457.6000061,-0.069,12.615,0.021
4900,2,48.638822833,8.942745167,457.6000061,-0.053,12.614,0.031
5000,2,48.638822833,8.942745167,457.6000061,0.005,12.614,0.024
5100,2,48.638822667,8.942745167,457.6000061,-0.042,12.615,0.018
5300,2,48.638822667,8.942745167,457.6000061,-0.037,12.614,0.027
5500,2,48.638822667,8.942745167,457.6000061,0.116,12.614,0.03
5600,2,48.638822667,8.942745167,457.6000061,0.048,12.615,0.024
5800,2,48.638822667,8.942745167,457.6000061,-0.011,12.614,0.022
5900,2,48.638822833,8.942745167,457.6000061,0.045,12.614,0.023
6100,2,48.638823,8.942745167,457.5,-0.016,12.615,0.029
6300,2,48.638823,8.942745333,457.5,0.034,12.613,0.026
6500,2,48.638823,8.942745333,457.5,0.108,12.613,0.021
6600,2,48.638823167,8.942745333,457.5,0.005,12.613,0.024
6700,2,48.638823333,8.942745333,457.5,0.037,12.615,0.026
6800,2,48.638823333,8.942745333,457.5,-0.053,12.615,0.028
6900,2,48.6388235,8.942745333,457.5,0.061,12.615,0.023
7000,2,48.6388235,8.942745333,457.5,-0.021,12.615,0.015
7100,2,48.638823667,8.942745333,457.5,0.071,12.615,0.012
7200,2,48.638823667,8.942745333,457.5,-0.042,12.615,0.014
7300,2,48.638823667,8.942745167,457.5,-0.079,12.615,0.02
7500,2,48.638823833,8.942745,457.5,-0.053,12.616,0.023
7700,2,48.638823833,8.942744833,457.5,-0.09,12.615,0.029
7900,2,48.638823833,8.942744667,457.6000061,0.0,12.613,0.029
8100,2,48.638823833,8.942744667,457.6000061,0.124,12.614,0.02
8300,2,48.638823667,8.942744667,457.6000061,0.005,12.613,0.027
8500,2,48.638823667,8.942744667,457.6000061,-0.005,12.613,0.029
8600,2,48.6388235,8.942744667,457.6000061,0.029,12.614,0.027
8700,2,48.6388235,8.942744667,457.6000061,0.026,12.614,0.027
8800,2,48.6388235,8.942744833,457.6000061,-0.042,12.614,0.026
8900,2,48.6388235,8.942744833,457.6000061,0.026,12.614,0.03
9000,2,48.6388235,8.942744833,457.6000061,-0.005,12.614,0.027
9200,2,48.638823667,8.942744833,457.6000061,-0.053,12.614,0.025
9400,2,48.6388235,8.942744833,457.6000061,0.148,12.612,0.024
9600,2,48.6388235,8.942745,457.6000061,0.1,12.613,0.021
9700,2,48.6388235,8.942745167,457.70001221,0.085,12.614,0.018
9800,2,48.638823667,8.942745167,457.6000061,-0.021,12.614,0.025
9900,2,48.638823667,8.942745167,457.70001221,0.074,12.615,0.026
10000,2,48.638823667,8.942745167,457.70001221,0.005,12.614,0.021
10100,2,48.638823667,8.942745333,457.70001221,-0.011,12.615,0.018
10200,2,48.638823667,8.942745333,457.70001221,0.135,12.614,0.016
10400,2,48.6388235,8.942745333,457.70001221,0.079,12.613,0.025
10600,2,48.6388235,8.942745333,457.70001221,0.148,12.614,0.023
10800,2,48.638823667,8.9427455,457.70001221,0.026,12.613,0.024
11000,2,48.638823667,8.9427455,457.70001221,-0.085,12.613,0.03
11100,2,48.638823667,8.9427455,457.70001221,-0.005,12.615,0.023
11200,2,48.638823667,8.9427455,457.70001221,-0.085,12.615,0.02
11400,2,48.638823833,8.942745333,457.6000061,-0.026,12.613,0.013
11600,2,48.638823833,8.942745333,457.6000061,-0.111,12.614,0.018
11800,2,48.638823833,8.942745333,457.6000061,-0.058,12.613,0.029
12000,2,48.638823833,8.942745333,457.6000061,-0.032,12.613,0.029
12200,2,48.638823833,8.942745333,457.6000061,0.048,12.614,0.025
12300,2,48.638823833,8.942745333,457.6000061,-0.011,12.615,0.021
12500,2,48.638823833,8.942745333,457.6000061,-0.085,12.614,0.024
12700,2,48.638823833,8.9427455,457.6000061,-0.063,12.615,0.024
12800,2,48.638823833,8.942745667,457.6000061,-0.037,12.614,0.024
12900,2,48.638824,8.942745833,457.6000061,0.058,12.613,0.025
13100,2,48.638824,8.942746,457.6000061,-0.021,12.614,0.027
13200,2,48.638824167,8.942746333,457.6000061,-0.058,12.614,0.026
13400,2,48.638824167,8.9427465,457.6000061,-0.137,12.613,0.025
13600,2,48.638824167,8.942746833,457.6000061,-0.09,12.615,0.027
13800,2,48.638824167,8.942747,457.6000061,-0.074,12.614,0.031
13900,2,48.638824333,8.942747333,457.6000061,-0.058,12.613,0.026
14100,2,48.638824333,8.942747333,457.6000061,0.058,12.613,0.022
14200,2,48.638824333,8.9427475,457.6000061,-0.069,12.614,0.023
14300,2,48.638824333,8.942747667,457.6000061,-0.016,12.613,0.021
14500,2,48.638824167,8.942747833,457.6000061,-0.164,12.613,0.019
14700,2,48.638824,8.942747833,457.6000061,0.0,12.614,0.025
14900,2,48.638824,8.942747833,457.6000061,0.026,12.613,0.024
15100,2,48.638824167,8.942748,457.5,-0.053,12.614,0.02
15200,2,48.638824,8.942748167,457.6000061,-0.116,12.615,0.027
15400,2,48.638824,8.942748333,457.6000061,-0.058,12.613,0.023
15600,2,48.638824167,8.942748333,457.6000061,0.092,12.614,0.024
15800,2,48.638824167,8.9427485,457.6000061,0.0,12.613,0.025
15900,2,48.638824167,8.9427485,457.6000061,0.053,12.613,0.023
16000,2,48.638824167,8.942748667,457.6000061,-0.1,12.613,0.022
16200,2,48.638824,8.942748667,457.6000061,-0.111,12.613,0.022
16300,2,48.638824167,8.942748667,457.6000061,0.04,12.613,0.026
16500,2,48.638824333,8.942748833,457.6000061,-0.011,12.612,0.027
16600,2,48.638824333,8.942749,457.6000061,-0.074,12.613,0.025
16700,2,48.6388245,8.942749167,457.6000061,-0.169,12.613,0.025
16800,2,48.6388245,8.942749167,457.6000061,-0.116,12.614,0.015
16900,2,48.6388245,8.942749167,457.6000061,-0.053,12.613,0.017
17000,2,48.6388245,8.942749167,457.6000061,-0.074,12.613,0.015
17100,2,48.638824667,8.942749333,457.6000061,-0.106,12.614,0.021
17200,2,48.638824667,8.942749333,457.6000061,0.092,12.614,0.019
17300,2,48.638824667,8.942749333,457.6000061,-0.09,12.611,0.031
17500,2,48.638824667,8.942749333,457.6000061,-0.201,12.611,0.036
17700,2,48.638825,8.942749333,457.6000061,-0.058,12.611,0.026
17800,2,48.638825,8.942749333,457.6000061,-0.048,12.611,0.017
18000,2,48.638825,8.942749333,457.6000061,-0.111,12.611,0.017
18200,2,48.638825,8.942749167,457.6000061,-0.079,12.611,0.025
18300,2,48.638825,8.942749167,457.6000061,-0.111,12.611,0.023
18500,2,48.638824833,8.942749333,457.6000061,-0.116,12.612,0.026
