ID,Payload,Distance,Current,Loading,Unloading,Penalty,Takeoff,DSQ,Preliminary Score,Score,Logfile,Datetime
1,4,2193.45,0.23,15.3,7.21,0.0,40,false,17041351.520654995,166.1130379081052,temp/056.txt,2026-07-01T15:49:42.300000+00:00
2,10,2995.26,0.14,20.4,21.9,0.0,40,false,88728950.60456401,614.4681902601087,temp/035.txt,2026-07-01T13:41:44.000000+00:00
3,8,2545.01,0.0,11.4,6.17,0.0,40,false,59589098.28092001,440.65915532204554,temp/040.txt,2026-07-01T14:12:00.200000+00:00
4,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
5,6,2052.98,0.63,35.5,24.29,0.0,60,false,9356693.674488,87.95818450787326,temp/055.txt,2026-07-01T15:35:01.600000+00:00
6,7,2885.59,0.0,21.1,10.24,0.0,40,false,67029368.667205,479.7779415333928,temp/051.txt,2026-07-01T15:09:24.100000+00:00
7,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
8,7,0.35,0.11,85.4,0.0,0.0,40,true,0.8776512499999998,0.0,temp/041.txt,2026-07-01T14:18:13.700000+00:00
9,11,3630.5,0.03,15.2,9.52,0.0,40,false,161731696.432625,1077.64,temp/034.txt,2026-07-01T13:34:53.900000+00:00
10,9,2906.79,0.01,31.8,7.61,0.0,60,false,75284404.40753101,529.784487021447,temp/043.txt,2026-07-01T14:28:18.000000+00:00
11,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
12,4,2783.51,0.33,23.5,14.87,0.0,40,false,23879113.849748198,194.46146866667772,temp/042.txt,2026-07-01T14:21:16.900000+00:00
13,10,3058.05,0.0,18.1,8.02,0.0,60,false,93516698.025,637.1612150600774,temp/039.txt,2026-07-01T14:05:55.000000+00:00
14,6,3142.64,0.03,6.9,5.45,0.0,40,false,66101314.03313279,462.53470558742396,temp/050.txt,2026-07-01T15:01:50.600000+00:00
15,2,2085.82,1.0,46.6,1000.0,0.0,60,true,0.0,0.0,temp/057.txt,2026-07-01T15:42:04.200000+00:00
16,3,2019.27,0.06,19.2,9.35,0.0,40,false,13223174.672594696,136.48494541739856,temp/060.txt,2026-07-01T16:21:45.800000+00:00
17,2,0.0,0.04,18.9,1000.0,0.0,40,true,0.0,0.0,temp/062.txt,2026-07-01T16:45:44.900000+00:00
18,6,0.0,0.0,25.1,0.0,0.0,40,true,0.0,0.0,,
19,10,3836.44,0.0,13.6,19.36,0.0,60,false,147182718.736,983.5625085648819,temp/037.txt,2026-07-01T13:53:21.900000+00:00
20,5,2414.33,0.0,7.7,5.73,0.0,60,false,29144946.744499996,248.49053414921573,temp/047.txt,2026-07-01T14:46:32.800000+00:00
21,6,3591.7,0.0,15.8,13.17,0.0,60,false,77401853.33999999,524.0968429366716,temp/038.txt,2026-07-01T13:59:09.200000+00:00
22,2,1696.11,0.0,28.7,15.7,0.0,40,true,6616615.003829999,0.0,temp/061.txt,2026-07-01T16:27:56.400000+00:00
24,2,104.21,0.73,65.1,1000.0,0.0,60,true,5864.251014,0.0,temp/046.txt,2026-07-01T14:41:09.300000+00:00
25,5,2768.94,0.06,14.3,12.89,0.0,40,false,41440290.251058,314.6336253413622,temp/049.txt,2026-07-01T14:55:33.200000+00:00
26,2,1371.24,0.84,22.3,1000.0,0.0,60,true,601695.7240320002,0.0,temp/054.txt,2026-07-01T15:26:25.800000+00:00
28,0,197.97,1.0,0.0,0.0,0.0,60,true,0.0,0.0,temp/059.txt,2026-07-01T16:00:33.400000+00:00
29,3,108.27,0.11,19.4,1000.0,0.0,60,true,31298.789042999997,0.0,temp/053.txt,2026-07-01T15:21:40.800000+00:00
30,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
31,4,0.0,0.0,9.1,1000.0,0.0,40,true,0.0,0.0,temp/048.txt,2026-07-01T14:51:56.300000+00:00
32,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
33,4,2303.45,0.6,54.5,40.37,0.0,40,false,9762822.700599996,78.9293127225036,temp/058.txt,2026-07-01T15:55:08.200000+00:00
34,6,2816.32,0.17,20.1,12.32,0.0,60,false,39499658.54515201,288.01954446413646,temp/044.txt,2026-07-01T14:35:55.200000+00:00
36,6,0.0,0.0,32.2,1000.0,0.0,40,true,0.0,0.0,temp/052.txt,2026-07-01T15:19:17.700000+00:00
37,9,2691.35,0.0,20.4,12.76,0.0,60,false,65190283.402499996,470.496730414791,temp/036.txt,2026-07-01T13:47:38.200000+00:00
