Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638825,8.942728833,461.20001221,360.771,12.599,0.037
100,2,48.638825,8.942728833,461.20001221,360.028,12.599,0.042
200,2,48.638825,8.942728833,461.20001221,360.039,12.6,0.042
300,2,48.638825,8.942728833,461.20001221,359.907,12.6,0.039
400,2,48.638825,8.942728667,461.20001221,359.946,12.6,0.034
500,2,48.638825167,8.942728667,461.20001221,359.997,12.599,0.034
600,2,48.638825167,8.942728667,461.20001221,359.931,12.599,0.031
800,2,48.638825333,8.942728667,461.20001221,360.036,12.599,0.029
900,2,48.638825333,8.9427285,461.20001221,360.005,12.599,0.031
1000,2,48.638825333,8.9427285,461.20001221,360.002,12.599,0.035
1100,2,48.638825333,8.9427285,461.20001221,360.063,12.599,0.032
1300,2,48.6388255,8.942728333,461.20001221,359.96,12.599,0.036
1400,2,48.6388255,8.942728333,461.20001221,359.949,12.599,0.035
1500,2,48.6388255,8.942728333,461.20001221,359.944,12.599,0.032
1600,2,48.638825667,8.942728333,461.20001221,359.901,12.6,0.035
1800,2,48.638825667,8.942728333,461.20001221,360.047,12.6,0.055
1900,2,48.638825833,8.942728167,461.20001221,359.983,12.6,0.052
2000,2,48.638825833,8.942728167,461.20001221,360.01,12.6,0.049
2100,2,48.638826,8.942728167,461.20001221,360.2,12.6,0.035
2200,2,48.638826167,8.942728167,461.20001221,360.131,12.599,0.038
2300,2,48.638826,8.942728,461.20001221,360.123,12.599,0.038
2400,2,48.638826167,8.942728,461.20001221,360.105,12.599,0.038
2500,2,48.638826167,8.942728,461.20001221,360.086,12.599,0.037
2600,2,48.638826167,8.942728,461.20001221,360.205,12.598,0.035
2800,2,48.638826167,8.942728,461.20001221,360.142,12.599,0.037
2900,2,48.638826333,8.942727833,461.20001221,360.063,12.6,0.036
3000,2,48.638826333,8.942728,461.20001221,360.118,12.599,0.038
3200,2,48.638826333,8.942728,461.20001221,360.15,12.599,0.042
