Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638827333,8.942742167,458.5,1.995,12.618,0.098
100,2,48.638827333,8.942742333,458.5,0.0,12.619,0.126
200,2,48.638827333,8.942742333,458.5,0.069,12.619,0.121
300,2,48.638827167,8.942742333,458.5,0.053,12.619,0.141
400,2,48.638827333,8.942742333,458.5,0.061,12.619,0.107
500,2,48.638827167,8.942742333,458.5,0.111,12.619,0.141
600,2,48.638827167,8.942742333,458.5,0.005,12.619,0.091
800,2,48.638827167,8.942742333,458.5,0.026,12.619,0.092
900,2,48.638827167,8.942742333,458.5,0.005,12.619,0.042
1000,2,48.638827167,8.942742333,458.5,0.018,12.619,0.041
1100,2,48.638827167,8.942742333,458.5,0.09,12.619,0.047
1200,2,48.638827,8.942742333,458.5,0.016,12.619,0.042
1300,2,48.638827,8.942742333,458.5,0.085,12.619,0.048
1400,2,48.638827,8.942742333,458.5,0.018,12.619,0.041
1500,2,48.638826833,8.942742333,458.3999939,-0.026,12.619,0.048
1600,2,48.638826833,8.942742333,458.3999939,0.092,12.619,0.051
1800,2,48.638826667,8.942742333,458.3999939,0.177,12.618,0.077
1900,2,48.638826667,8.942742333,458.3999939,0.172,12.617,0.114
2000,2,48.638826667,8.942742333,458.3999939,0.045,12.617,0.177
2100,2,48.638826667,8.942742333,458.3999939,0.095,12.617,0.185
2200,2,48.6388265,8.942742333,458.3999939,0.026,12.618,0.143
2300,2,48.6388265,8.942742333,458.3999939,0.042,12.619,0.074
2400,2,48.6388265,8.942742333,458.3999939,0.032,12.619,0.037
2500,2,48.638826333,8.942742333,458.3999939,0.026,12.619,0.037
2600,2,48.638826333,8.942742333,458.3999939,0.008,12.619,0.038
2800,2,48.638826333,8.942742333,458.3999939,0.016,12.619,0.04
2900,2,48.638826333,8.942742167,458.3999939,-0.053,12.619,0.04
3000,2,48.638826167,8.942742167,458.3999939,-0.042,12.619,0.037
3100,2,48.638826167,8.942742167,458.3999939,0.071,12.619,0.036
3200,2,48.638826167,8.942742333,458.3999939,0.013,12.619,0.034
3300,2,48.638826,8.942742333,458.3999939,-0.016,12.619,0.041
3400,2,48.638826,8.942742167,458.3999939,-0.132,12.62,0.039
3500,2,48.638826,8.942742333,458.3999939,0.04,12.619,0.041
3600,2,48.638826,8.942742333,458.3999939,-0.032,12.62,0.042
3800,2,48.638826,8.942742333,458.3999939,-0.011,12.62,0.045
3900,2,48.638825833,8.942742333,458.3999939,0.188,12.619,0.048
4000,2,48.638825833,8.942742333,458.3999939,0.063,12.62,0.047
4100,2,48.638825833,8.942742333,458.3999939,0.037,12.62,0.046
4200,2,48.638825833,8.942742333,458.3999939,0.069,12.619,0.047
4300,2,48.638825833,8.9427425,458.3999939,0.016,12.619,0.054
4400,2,48.638825667,8.942742333,458.29998779,-0.011,12.619,0.054
4500,2,48.638825667,8.942742333,458.29998779,-0.021,12.62,0.052
4600,2,48.638825667,8.9427425,458.29998779,0.082,12.62,0.049
4800,2,48.638825667,8.942742333,458.29998779,0.082,12.619,0.042
4900,2,48.638825667,8.942742333,458.29998779,0.129,12.619,0.042
5000,2,48.638825667,8.942742333,458.29998779,-0.011,12.619,0.041
