Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638839667,8.942754,460.5,2.153,12.554,0.404
200,2,48.6388395,8.942753833,460.5,0.048,12.559,0.127
300,2,48.638839667,8.942753833,460.5,-0.058,12.561,0.054
400,2,48.638839833,8.942753833,460.5,0.021,12.561,0.045
500,2,48.638839833,8.942753833,460.5,-0.005,12.561,0.053
600,2,48.63884,8.942753833,460.5,0.016,12.561,0.058
700,2,48.63884,8.942753667,460.5,-0.042,12.561,0.062
800,2,48.638840167,8.942753667,460.5,-0.074,12.561,0.059
900,2,48.638840167,8.942753667,460.5,0.048,12.562,0.05
1000,2,48.638840333,8.942753667,460.5,0.026,12.562,0.05
1200,2,48.638840333,8.942753667,460.5,-0.021,12.562,0.058
1300,2,48.6388405,8.942753667,460.5,-0.122,12.562,0.06
1400,2,48.6388405,8.942753667,460.5,-0.048,12.562,0.058
1500,2,48.6388405,8.942753667,460.5,0.016,12.561,0.061
1600,2,48.6388405,8.942753667,460.5,0.05,12.562,0.062
1700,2,48.6388405,8.9427535,460.5,0.005,12.562,0.061
1800,2,48.6388405,8.9427535,460.5,-0.037,12.562,0.06
1900,2,48.6388405,8.9427535,460.5,-0.005,12.562,0.062
2000,2,48.6388405,8.9427535,460.5,-0.095,12.561,0.064
2100,2,48.6388405,8.9427535,460.5,0.04,12.562,0.067
2200,2,48.6388405,8.9427535,460.5,-0.074,12.562,0.062
2300,2,48.638840667,8.942753333,460.5,0.114,12.562,0.058
2400,2,48.6388405,8.9427535,460.5,0.129,12.562,0.055
2500,2,48.6388405,8.9427535,460.5,-0.026,12.562,0.064
2600,2,48.638840667,8.9427535,460.5,0.196,12.563,0.062
2700,2,48.6388405,8.942753333,460.5,0.172,12.563,0.061
2800,2,48.638840667,8.942753333,460.5,0.159,12.563,0.063
2900,2,48.638840667,8.942753333,460.5,0.071,12.562,0.07
3000,2,48.638840667,8.942753333,460.5,0.026,12.563,0.068
3200,2,48.638840833,8.942753333,460.5,0.066,12.561,0.06
3300,2,48.638840667,8.942753333,460.5,0.233,12.561,0.06
3400,2,48.638840667,8.942753333,460.5,0.222,12.561,0.059
3500,2,48.638840667,8.942753167,460.5,0.087,12.561,0.052
3600,2,48.638840667,8.942753333,460.5,0.048,12.562,0.054
3700,2,48.638840833,8.942753333,460.5,0.137,12.561,0.055
3800,2,48.638840833,8.942753167,460.5,0.122,12.561,0.052
3900,2,48.638840833,8.942753333,460.5,0.045,12.561,0.051
4000,2,48.638840833,8.942753167,460.5,0.005,12.562,0.056
4200,2,48.638840667,8.942753333,460.5,0.021,12.562,0.066
4300,2,48.638840833,8.942753167,460.5,-0.106,12.562,0.056
4400,2,48.638840667,8.942753,460.6000061,-0.048,12.562,0.058
4500,2,48.638841,8.942752667,460.5,-0.058,12.562,0.054
4600,2,48.638841167,8.942752667,460.5,0.042,12.562,0.063
4700,2,48.638841167,8.942752667,460.5,0.024,12.562,0.058
4800,2,48.638841167,8.942752333,460.6000061,0.135,12.562,0.059
4900,2,48.638841167,8.9427525,460.6000061,0.087,12.562,0.052
5000,2,48.638841167,8.9427525,460.5,0.116,12.562,0.054
5200,2,48.638841167,8.942752333,460.5,0.095,12.562,0.065
5300,2,48.638841333,8.942752167,460.5,0.135,12.562,0.065
5400,2,48.638841333,8.942752167,460.5,0.111,12.562,0.065
5500,2,48.6388415,8.942752,460.5,0.032,12.562,0.061
5600,2,48.638841667,8.942752167,460.5,-0.016,12.562,0.057
5700,2,48.638841667,8.942752167,460.3999939,0.148,12.562,0.059
5800,2,48.638841667,8.942752167,460.3999939,0.095,12.562,0.058
5900,2,48.638841833,8.942752,460.3999939,0.092,12.562,0.065
6000,2,48.638841667,8.942751833,460.3999939,0.166,12.562,0.061
6200,2,48.638842,8.9427515,460.3999939,0.09,12.563,0.06
6300,2,48.638842167,8.942751333,460.5,0.029,12.562,0.057
6400,2,48.638842167,8.942751333,460.3999939,0.018,12.562,0.062
6500,2,48.638842167,8.942751333,460.3999939,0.055,12.561,0.063
6600,2,48.638842167,8.942751333,460.3999939,0.095,12.562,0.067
6700,2,48.638842333,8.942751333,460.3999939,0.045,12.561,0.067
6800,2,48.638842333,8.942751333,460.3999939,0.103,12.561,0.07
6900,2,48.638842333,8.942751333,460.3999939,0.095,12.561,0.067
7000,2,48.638842333,8.942751333,460.3999939,0.082,12.561,0.064
7200,2,48.638842333,8.942751333,460.3999939,0.082,12.561,0.058
7300,2,48.638842333,8.942751333,460.3999939,0.063,12.561,0.057
7400,2,48.638842333,8.942751167,460.29998779,-0.011,12.562,0.05
7500,2,48.638842333,8.942751333,460.29998779,0.206,12.562,0.053
7600,2,48.638842333,8.942751167,460.29998779,0.137,12.562,0.053
