Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638818667,8.942752167,457.3999939,-0.946,12.538,0.037
100,2,48.638818667,8.942752,457.3999939,-0.983,12.538,0.036
300,2,48.638818833,8.942752167,457.3999939,0.188,12.54,0.034
400,2,48.638818833,8.942752,457.3999939,0.09,12.542,0.031
500,2,48.638818667,8.942752,457.3999939,0.074,12.539,0.028
700,2,48.638818667,8.942752,457.3999939,0.116,12.538,0.027
900,2,48.638818667,8.942751833,457.3999939,0.071,12.539,0.033
1100,2,48.638818833,8.942751833,457.3999939,0.254,12.539,0.03
1200,2,48.638818833,8.942751833,457.3999939,0.037,12.54,0.028
1400,2,48.638818833,8.942751833,457.3999939,0.1,12.54,0.024
1500,2,48.638818833,8.942751833,457.3999939,0.095,12.539,0.027
1600,2,48.638819,8.942751667,457.29998779,0.119,12.537,0.024
1800,2,48.638819,8.942751667,457.29998779,0.169,12.539,0.029
2000,2,48.638819167,8.942751667,457.29998779,0.254,12.539,0.043
2200,2,48.638819167,8.942751667,457.29998779,0.132,12.537,0.032
2300,2,48.638819167,8.942751667,457.29998779,0.137,12.539,0.021
2500,2,48.638819167,8.942751667,457.29998779,0.061,12.539,0.02
2700,2,48.638819333,8.9427515,457.29998779,0.082,12.539,0.032
2900,2,48.6388195,8.9427515,457.29998779,0.114,12.538,0.032
3000,2,48.638819667,8.942751333,457.29998779,0.135,12.538,0.023
3200,2,48.638819667,8.942751333,457.29998779,0.148,12.538,0.023
3300,2,48.638819667,8.942751167,457.29998779,-0.048,12.539,0.025
3500,2,48.638819667,8.942751167,457.29998779,-0.021,12.539,0.031
3600,2,48.638819667,8.942751,457.20001221,0.092,12.539,0.031
3800,2,48.638819667,8.942751,457.20001221,0.003,12.541,0.03
4000,2,48.638819667,8.942750833,457.20001221,0.124,12.54,0.031
4100,2,48.638819667,8.942750667,457.20001221,0.106,12.539,0.026
4200,2,48.638819833,8.9427505,457.20001221,0.09,12.539,0.023
4300,2,48.638819833,8.9427505,457.20001221,0.156,12.541,0.021
4500,2,48.63882,8.9427505,457.20001221,0.092,12.539,0.027
4600,2,48.63882,8.9427505,457.20001221,0.198,12.539,0.033
4800,2,48.638820167,8.942750333,457.20001221,0.164,12.54,0.025
5000,2,48.638820167,8.942750167,457.20001221,0.0,12.54,0.026
5100,2,48.638820333,8.94275,457.20001221,0.092,12.541,0.022
5200,2,48.638820333,8.942749833,457.1000061,0.108,12.54,0.026
5400,2,48.6388205,8.942749667,457.1000061,0.129,12.539,0.023
5500,2,48.6388205,8.9427495,457.1000061,0.048,12.539,0.024
5600,2,48.6388205,8.9427495,457.1000061,0.137,12.539,0.027
5800,2,48.6388205,8.942749333,457.1000061,0.233,12.539,0.025
6000,2,48.638820333,8.942749167,457.1000061,0.103,12.539,0.027
6100,2,48.638820333,8.942749,457.1000061,0.159,12.539,0.026
6200,2,48.638820333,8.942749,457.0,0.04,12.539,0.025
6300,2,48.638820333,8.942748833,457.0,0.143,12.541,0.018
6400,2,48.6388205,8.942748833,457.0,0.137,12.542,0.021
6500,2,48.6388205,8.942748667,457.0,0.148,12.541,0.019
6600,2,48.6388205,8.942748667,457.0,0.034,12.539,0.024
6800,2,48.638820667,8.9427485,457.0,0.048,12.538,0.034
6900,2,48.638820667,8.9427485,457.0,0.034,12.541,0.037
7000,2,48.638820667,8.942748333,457.0,0.021,12.541,0.034
7100,2,48.638820833,8.942748167,457.0,0.103,12.542,0.03
7200,2,48.638821,8.942748167,457.0,0.024,12.541,0.028
7400,2,48.638821,8.942748333,457.0,0.055,12.541,0.023
7600,2,48.638821,8.942748167,457.0,0.053,12.538,0.032
7800,2,48.638821,8.942748167,457.0,0.037,12.539,0.04
8000,2,48.638821,8.942748,457.0,0.069,12.54,0.03
8100,2,48.638821167,8.942748,457.0,0.092,12.539,0.026
8300,2,48.638821333,8.942747833,457.0,0.055,12.539,0.031
8400,2,48.638821333,8.942747833,457.0,0.122,12.54,0.032
8500,2,48.6388215,8.942747667,457.0,0.092,12.539,0.035
8600,2,48.638821667,8.9427475,457.0,0.079,12.539,0.036
8800,2,48.6388215,8.9427475,457.0,0.085,12.539,0.03
8900,2,48.638821333,8.9427475,457.0,0.116,12.54,0.028
9100,2,48.638821167,8.9427475,457.0,0.05,12.538,0.03
9300,2,48.638821167,8.942747333,457.0,0.029,12.539,0.037
9500,2,48.638821167,8.942747333,457.0,0.124,12.539,0.037
9600,2,48.638821,8.942747167,457.0,0.203,12.538,0.027
9800,2,48.638820833,8.942747167,457.0,0.026,12.539,0.03
9900,2,48.638820667,8.942747167,457.0,0.119,12.541,0.029
10000,2,48.638820667,8.942747167,457.0,0.029,12.541,0.028
10100,2,48.6388205,8.942747,457.0,0.061,12.54,0.025
10200,2,48.6388205,8.942747,457.0,0.085,12.541,0.024
10300,2,48.638820333,8.942747,457.0,0.1,12.541,0.022
10400,2,48.638820333,8.942747,457.0,0.193,12.542,0.022
10500,2,48.638820333,8.942747,457.0,0.211,12.541,0.024
10600,2,48.638820167,8.942747,457.0,0.071,12.54,0.027
10800,2,48.638820167,8.942747,457.0,0.161,12.54,0.028
11000,2,48.63882,8.942747,457.0,-0.011,12.539,0.031
11100,2,48.63882,8.942747,457.0,0.114,12.54,0.033
11300,2,48.63882,8.942747,457.0,0.048,12.54,0.032
11500,2,48.638819833,8.942747167,457.0,0.153,12.539,0.034
11600,2,48.638819833,8.942747167,457.0,0.127,12.538,0.024
11800,2,48.638819833,8.942747167,457.0,0.077,12.54,0.019
12000,2,48.638819833,8.942747167,457.0,0.145,12.54,0.023
12100,2,48.638819667,8.942747167,457.0,0.071,12.539,0.03
12300,2,48.638819667,8.942747167,457.0,0.045,12.54,0.034
12500,2,48.638819667,8.942747167,457.1000061,0.077,12.538,0.024
12700,2,48.638819667,8.942747333,457.1000061,0.174,12.538,0.035
13000,2,48.638819667,8.942747333,457.1000061,0.182,12.539,0.033
13200,2,48.638819667,8.942747333,457.1000061,0.04,12.538,0.027
13400,2,48.638819667,8.942747333,457.1000061,0.151,12.54,0.027
13500,2,48.638819833,8.942747333,457.1000061,0.058,12.541,0.032
13700,2,48.638819833,8.942747333,457.1000061,0.103,12.539,0.034
13900,2,48.638819833,8.942747333,457.1000061,0.106,12.539,0.034
14100,2,48.63882,8.942747333,457.1000061,0.137,12.538,0.034
14200,2,48.63882,8.942747333,457.1000061,0.14,12.539,0.028
14300,2,48.63882,8.942747333,457.1000061,0.116,12.54,0.028
14400,2,48.63882,8.942747333,457.1000061,0.227,12.542,0.026
14500,2,48.638820167,8.942747333,457.1000061,0.137,12.542,0.023
14600,2,48.638820167,8.942747333,457.1000061,0.19,12.539,0.022
14800,2,48.638820167,8.942747333,457.1000061,0.151,12.54,0.028
14900,2,48.638820167,8.942747333,457.1000061,0.119,12.541,0.033
15000,2,48.638820167,8.9427475,457.20001221,0.14,12.542,0.033
15100,2,48.638820333,8.9427475,457.20001221,0.148,12.541,0.031
15200,2,48.638820333,8.9427475,457.20001221,0.058,12.541,0.023
15300,2,48.638820333,8.9427475,457.20001221,0.069,12.541,0.02
15400,2,48.638820333,8.9427475,457.20001221,0.082,12.542,0.026
15500,2,48.638820333,8.9427475,457.20001221,0.153,12.542,0.025
15600,2,48.638820333,8.9427475,457.20001221,0.182,12.54,0.027
15800,2,48.638820333,8.9427475,457.20001221,0.053,12.539,0.028
15900,2,48.638820333,8.9427475,457.20001221,0.108,12.54,0.03
16000,2,48.638820333,8.9427475,457.20001221,0.14,12.54,0.032
16100,2,48.638820333,8.9427475,457.20001221,0.166,12.541,0.03
16300,2,48.638820333,8.942747667,457.20001221,-0.011,12.541,0.034
16400,2,48.638820333,8.942747667,457.20001221,0.074,12.542,0.028
16500,2,48.638820333,8.942747667,457.20001221,0.103,12.54,0.027
