Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638828,8.942753833,459.29998779,2.33,12.572,0.237
100,2,48.638828,8.942753833,459.29998779,2.214,12.574,0.15
200,2,48.638828167,8.942753833,459.29998779,0.063,12.575,0.152
300,2,48.638828333,8.942753833,459.29998779,0.09,12.576,0.155
400,2,48.638828167,8.942753833,459.29998779,0.048,12.577,0.159
500,2,48.638828333,8.942753833,459.29998779,0.156,12.576,0.175
600,2,48.6388285,8.942754,459.29998779,0.077,12.575,0.185
800,2,48.638828333,8.942753833,459.29998779,0.087,12.571,0.341
900,2,48.6388285,8.942753833,459.29998779,0.048,12.563,0.731
1100,2,48.638828833,8.942753667,459.29998779,-0.111,12.546,1.49
1200,2,48.638828833,8.942753667,459.29998779,-0.021,12.549,1.377
1400,2,48.638829167,8.942753667,459.29998779,-0.053,12.566,0.596
1500,2,48.638829167,8.942753667,459.29998779,0.098,12.562,0.791
1700,2,48.638829333,8.942753667,459.29998779,-0.116,12.53,2.338
1900,2,48.6388295,8.9427535,459.29998779,0.071,12.533,1.9
2100,2,48.6388295,8.9427535,459.29998779,0.016,12.555,0.806
2200,2,48.638829667,8.942753333,459.29998779,-0.132,12.572,0.313
2300,2,48.638829833,8.942753333,459.29998779,-0.026,12.573,0.169
2400,2,48.63883,8.942753167,459.29998779,-0.005,12.574,0.163
2500,2,48.638830167,8.942753167,459.3999939,-0.1,12.574,0.159
2600,2,48.638830167,8.942753167,459.3999939,-0.106,12.574,0.169
2800,2,48.638830167,8.942753333,459.3999939,-0.042,12.573,0.179
2900,2,48.638830333,8.942753333,459.3999939,-0.069,12.573,0.181
3000,2,48.6388305,8.942753333,459.3999939,0.074,12.574,0.172
3100,2,48.6388305,8.942753333,459.3999939,0.029,12.574,0.165
3200,2,48.638830667,8.942753333,459.3999939,-0.042,12.574,0.163
3300,2,48.638830667,8.942753167,459.3999939,-0.069,12.574,0.162
3400,2,48.638830667,8.942753333,459.3999939,-0.005,12.574,0.165
3500,2,48.638830667,8.942753333,459.3999939,0.053,12.575,0.167
3600,2,48.638830667,8.942753167,459.3999939,-0.048,12.574,0.168
3800,2,48.638830833,8.942753167,459.3999939,-0.085,12.574,0.171
3900,2,48.638830833,8.942753,459.3999939,-0.132,12.573,0.168
4000,2,48.638830833,8.942753,459.3999939,-0.095,12.573,0.165
4100,2,48.638831,8.942753,459.3999939,-0.074,12.573,0.162
4200,2,48.638831167,8.942753,459.3999939,-0.132,12.574,0.162
4300,2,48.638831167,8.942753,459.3999939,-0.1,12.574,0.162
4400,2,48.638831167,8.942753,459.5,-0.148,12.575,0.161
4500,2,48.638831167,8.942752833,459.5,-0.037,12.576,0.165
4600,2,48.638831167,8.942752833,459.5,-0.005,12.576,0.169
4800,2,48.638831333,8.942752833,459.5,-0.032,12.574,0.171
4900,2,48.638831333,8.942752833,459.5,-0.042,12.574,0.168
5000,2,48.638831333,8.942752833,459.5,-0.1,12.574,0.17
5100,2,48.638831333,8.942752667,459.5,-0.1,12.575,0.173
5200,2,48.6388315,8.942752833,459.5,-0.185,12.575,0.179
5300,2,48.6388315,8.942752833,459.5,-0.169,12.574,0.176
5400,2,48.6388315,8.942752833,459.5,-0.227,12.575,0.178
5500,2,48.638831667,8.942753,459.5,-0.09,12.575,0.172
5700,2,48.638831833,8.942753,459.5,-0.116,12.574,0.169
5900,2,48.638831833,8.942753,459.5,-0.116,12.573,0.178
6000,2,48.638832,8.942752833,459.5,-0.032,12.574,0.171
6200,2,48.638832,8.942752667,459.5,-0.122,12.574,0.169
6300,2,48.638831833,8.9427525,459.5,-0.053,12.573,0.178
6500,2,48.638831667,8.9427525,459.5,-0.111,12.572,0.183
6700,2,48.6388315,8.942752167,459.5,0.037,12.573,0.177
6900,2,48.6388315,8.942752167,459.5,-0.074,12.572,0.179
7100,2,48.638831333,8.942752,459.3999939,-0.032,12.572,0.174
7300,2,48.638831333,8.942751833,459.3999939,-0.196,12.573,0.17
7500,2,48.638831333,8.942751667,459.3999939,-0.227,12.572,0.181
7700,2,48.638831333,8.942751667,459.3999939,-0.122,12.572,0.179
7900,2,48.638831,8.942751667,459.3999939,-0.264,12.572,0.175
8100,2,48.638831,8.9427515,459.3999939,-0.206,12.572,0.167
8300,2,48.638831,8.942751333,459.29998779,-0.132,12.573,0.167
8500,2,48.638831,8.942751333,459.29998779,-0.159,12.573,0.172
8700,2,48.638830833,8.942751333,459.29998779,-0.227,12.572,0.184
8900,2,48.638830667,8.942751333,459.29998779,-0.137,12.572,0.173
9100,2,48.6388305,8.942751333,459.29998779,-0.148,12.573,0.177
9300,2,48.6388305,8.942751333,459.29998779,-0.042,12.573,0.177
9500,2,48.638830333,8.942751333,459.29998779,-0.095,12.573,0.178
9700,2,48.638830333,8.942751333,459.29998779,-0.079,12.572,0.169
9900,2,48.638830167,8.942751333,459.20001221,-0.09,12.573,0.175
10100,2,48.638830167,8.942751333,459.20001221,0.021,12.573,0.176
10200,2,48.638830167,8.942751333,459.20001221,-0.153,12.574,0.172
10400,2,48.63883,8.942751167,459.20001221,-0.132,12.574,0.167
10600,2,48.63883,8.942751167,459.20001221,-0.153,12.573,0.174
10800,2,48.638829833,8.942751167,459.20001221,-0.169,12.572,0.17
11000,2,48.638829833,8.942751167,459.1000061,-0.217,12.573,0.167
11100,2,48.638829667,8.942751,459.1000061,-0.143,12.572,0.171
11200,2,48.638829667,8.942751,459.1000061,-0.005,12.573,0.17
11300,2,48.638829667,8.942751,459.1000061,-0.185,12.574,0.165
11400,2,48.6388295,8.942751,459.1000061,-0.18,12.575,0.168
11500,2,48.6388295,8.942750833,459.1000061,0.016,12.575,0.172
11600,2,48.6388295,8.942750833,459.1000061,-0.159,12.575,0.179
11800,2,48.6388295,8.942750833,459.1000061,-0.122,12.573,0.186
11900,2,48.6388295,8.942750667,459.1000061,-0.042,12.574,0.178
12000,2,48.638829333,8.942750667,459.1000061,-0.137,12.574,0.168
12100,2,48.638829333,8.942750667,459.1000061,-0.153,12.575,0.164
12200,2,48.638829333,8.9427505,459.1000061,-0.185,12.575,0.168
12300,2,48.638829333,8.9427505,459.1000061,-0.132,12.575,0.17
12500,2,48.638829167,8.9427505,459.1000061,-0.095,12.574,0.165
12600,2,48.638829167,8.942750333,459.1000061,-0.164,12.574,0.169
12800,2,48.638829167,8.942750333,459.1000061,-0.095,12.575,0.168
13000,2,48.638829167,8.942750333,459.1000061,-0.159,12.572,0.17
13200,2,48.638829,8.942750167,459.1000061,-0.206,12.572,0.18
13400,2,48.638829,8.942750333,459.1000061,-0.143,12.572,0.177
13600,2,48.638829,8.942750333,459.1000061,-0.106,12.572,0.177
13800,2,48.638829,8.942750167,459.1000061,-0.217,12.572,0.174
14000,2,48.638829,8.942750167,459.1000061,-0.322,12.573,0.177
14100,2,48.638828833,8.942750167,459.1000061,-0.238,12.574,0.174
14300,2,48.638828833,8.94275,459.0,-0.137,12.574,0.162
14500,2,48.638828833,8.94275,459.0,-0.201,12.573,0.175
14700,2,48.638828833,8.94275,459.0,-0.211,12.573,0.167
15000,2,48.638828833,8.94275,459.0,-0.28,12.573,0.165
15100,2,48.638828833,8.94275,459.0,-0.174,12.574,0.166
15300,2,48.638828833,8.942749833,459.0,-0.259,12.574,0.176
15500,2,48.638828833,8.94275,459.0,-0.27,12.573,0.172
