Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638820833,8.942748833,461.20001221,359.429,12.588,0.644
100,2,48.638819667,8.942748167,461.29998779,359.999,12.589,0.67
200,2,48.63882,8.942748333,461.29998779,359.962,12.589,0.651
300,2,48.63882,8.942748,461.29998779,359.933,12.589,0.425
400,2,48.63882,8.9427475,461.3999939,359.949,12.594,0.244
600,2,48.63882,8.942747167,461.3999939,359.761,12.596,0.092
700,2,48.638819833,8.9427475,461.3999939,359.828,12.596,0.092
800,2,48.63882,8.942747,461.3999939,359.857,12.596,0.093
900,2,48.638820167,8.942747,461.3999939,359.886,12.596,0.093
1000,2,48.638820167,8.942746667,461.3999939,359.87,12.596,0.094
1100,2,48.63882,8.9427465,461.3999939,359.846,12.597,0.091
1200,2,48.63882,8.942746167,461.3999939,359.878,12.597,0.092
1300,2,48.63882,8.942746333,461.3999939,359.804,12.598,0.094
1400,2,48.63882,8.942746333,461.3999939,359.843,12.596,0.097
1600,2,48.638820167,8.9427465,461.3999939,359.851,12.597,0.093
1700,2,48.63882,8.9427465,461.3999939,359.944,12.597,0.097
1800,2,48.63882,8.942746667,461.29998779,359.973,12.597,0.094
1900,2,48.638819833,8.9427465,461.29998779,359.936,12.597,0.091
2000,2,48.638819833,8.942746667,461.29998779,359.957,12.597,0.091
2100,2,48.638819833,8.942746667,461.29998779,359.865,12.597,0.091
2200,2,48.638819833,8.942746667,461.20001221,360.015,12.597,0.093
2300,2,48.638819667,8.942746833,461.20001221,359.941,12.597,0.09
2400,2,48.638819667,8.942746667,461.20001221,359.994,12.597,0.093
2600,2,48.638819667,8.9427465,461.20001221,359.978,12.597,0.091
2700,2,48.6388195,8.9427465,461.20001221,359.936,12.597,0.093
2800,2,48.6388195,8.9427465,461.20001221,360.005,12.597,0.096
2900,2,48.638819667,8.9427465,461.20001221,359.952,12.598,0.094
3000,2,48.638819667,8.9427465,461.20001221,359.983,12.598,0.089
3100,2,48.638819667,8.9427465,461.20001221,359.899,12.598,0.09
3200,2,48.638819667,8.942746667,461.20001221,359.909,12.597,0.097
3300,2,48.6388195,8.942746667,461.1000061,359.983,12.597,0.101
3400,2,48.6388195,8.942746667,461.1000061,359.952,12.597,0.101
3600,2,48.638819333,8.942746667,461.1000061,360.047,12.597,0.099
3700,2,48.638819333,8.9427465,461.1000061,360.012,12.596,0.099
3800,2,48.638819167,8.9427465,461.1000061,359.946,12.596,0.103
3900,2,48.638819,8.9427465,461.0,359.962,12.597,0.092
4000,2,48.638818833,8.942746333,461.0,359.867,12.597,0.088
4100,2,48.638818833,8.942746333,461.0,359.909,12.596,0.088
4200,2,48.638818667,8.942746167,461.0,359.968,12.597,0.09
4300,2,48.6388185,8.942746167,461.0,359.957,12.597,0.093
4400,2,48.638818333,8.942746,460.8999939,360.047,12.597,0.091
4600,2,48.638818167,8.942745833,460.8999939,359.896,12.597,0.093
4700,2,48.638818167,8.942745667,460.8999939,359.931,12.597,0.091
4800,2,48.638818,8.942745667,460.8999939,360.076,12.597,0.089
4900,2,48.638818,8.9427455,460.79998779,360.028,12.598,0.092
5000,2,48.638818167,8.942745333,460.79998779,360.108,12.598,0.092
5100,2,48.638818167,8.942745167,460.79998779,360.123,12.597,0.092
5200,2,48.638818167,8.942745333,460.79998779,359.991,12.597,0.091
5300,2,48.638818167,8.942745333,460.70001221,359.946,12.597,0.092
5400,2,48.638818,8.942745333,460.70001221,359.957,12.596,0.093
5600,2,48.638818,8.942745333,460.70001221,359.938,12.596,0.098
5700,2,48.638818,8.942745167,460.70001221,359.936,12.596,0.098
5800,2,48.638818,8.942745167,460.70001221,359.899,12.597,0.104
5900,2,48.638818,8.942745,460.70001221,360.036,12.597,0.101
6000,2,48.638818,8.942745,460.6000061,359.986,12.597,0.101
6100,2,48.638818,8.942744833,460.6000061,359.986,12.597,0.095
6200,2,48.638818,8.942744667,460.6000061,359.912,12.597,0.094
6300,2,48.638817833,8.9427445,460.6000061,359.957,12.597,0.09
6400,2,48.638817667,8.9427445,460.5,359.936,12.597,0.089
6600,2,48.638817667,8.942744333,460.5,359.901,12.597,0.086
6700,2,48.638817667,8.942744667,460.5,359.901,12.597,0.093
6800,2,48.638817667,8.942745,460.5,359.875,12.596,0.098
6900,2,48.638818333,8.942744,460.5,359.907,12.597,0.098
7000,2,48.638818833,8.942743833,460.5,359.838,12.597,0.093
7100,2,48.6388195,8.942743667,460.3999939,359.904,12.596,0.091
7200,2,48.638819833,8.9427435,460.5,359.875,12.596,0.088
7300,2,48.638820167,8.942743333,460.5,359.87,12.596,0.091
7400,2,48.638820667,8.9427435,460.3999939,359.997,12.596,0.088
7600,2,48.638821,8.942743667,460.3999939,359.87,12.596,0.088
7700,2,48.638821333,8.942743833,460.3999939,359.909,12.595,0.087
7800,2,48.6388215,8.942744,460.29998779,359.894,12.595,0.084
7900,2,48.6388215,8.942744,460.29998779,359.854,12.596,0.092
