Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.6388365,8.942735833,459.3999939,2.344,12.587,0.061
100,2,48.638836667,8.9427355,459.3999939,2.307,12.586,0.063
300,2,48.638836667,8.9427355,459.3999939,0.092,12.588,0.055
400,2,48.638836667,8.9427355,459.3999939,0.211,12.589,0.041
500,2,48.638836667,8.942735333,459.29998779,0.127,12.589,0.031
600,2,48.638836667,8.942735333,459.29998779,0.169,12.589,0.026
800,2,48.6388365,8.942735167,459.29998779,0.169,12.589,0.02
1000,2,48.6388365,8.942735167,459.29998779,0.066,12.589,0.027
1100,2,48.6388365,8.942735,459.29998779,0.156,12.588,0.028
1300,2,48.6388365,8.942735,459.29998779,0.196,12.588,0.033
1500,2,48.6388365,8.942734833,459.29998779,0.217,12.588,0.027
1600,2,48.6388365,8.942734833,459.29998779,0.159,12.589,0.031
1800,2,48.638836667,8.942734667,459.29998779,0.063,12.589,0.032
1900,2,48.6388365,8.942734667,459.29998779,0.092,12.588,0.035
2100,2,48.638836333,8.942734833,459.29998779,0.087,12.589,0.021
2300,2,48.638836333,8.942734833,459.29998779,0.011,12.589,0.02
2500,2,48.6388365,8.942735,459.29998779,0.079,12.588,0.023
2600,2,48.6388365,8.942734833,459.29998779,0.005,12.589,0.022
2800,2,48.6388365,8.942734833,459.29998779,0.055,12.589,0.025
3000,2,48.638836333,8.942734833,459.29998779,0.132,12.589,0.03
3100,2,48.6388365,8.942734667,459.29998779,0.082,12.589,0.037
3300,2,48.6388365,8.942734667,459.29998779,-0.026,12.589,0.028
3500,2,48.6388365,8.942734167,459.29998779,0.0,12.589,0.018
3600,2,48.6388365,8.942734167,459.29998779,-0.011,12.588,0.024
3800,2,48.6388365,8.942734,459.3999939,0.188,12.588,0.027
4000,2,48.638836667,8.942733667,459.5,0.201,12.588,0.026
4100,2,48.638836667,8.942733667,459.6000061,0.285,12.589,0.032
4300,2,48.6388365,8.942733333,459.70001221,0.312,12.589,0.032
