Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.6388265,8.942731833,459.29998779,1.694,12.591,0.046
100,2,48.6388265,8.942732167,459.29998779,0.048,12.591,0.044
200,2,48.6388265,8.942732167,459.29998779,0.066,12.591,0.081
300,2,48.638826667,8.942731667,459.29998779,0.137,12.591,0.112
400,2,48.638827,8.9427315,459.29998779,-0.011,12.592,0.126
500,2,48.638826667,8.9427315,459.29998779,-0.037,12.592,0.077
600,2,48.6388265,8.9427315,459.29998779,0.087,12.592,0.054
700,2,48.6388265,8.942731667,459.3999939,0.045,12.591,0.114
800,2,48.638826333,8.942731667,459.29998779,0.071,12.591,0.135
900,2,48.6388265,8.942731667,459.29998779,0.0,12.591,0.128
1000,2,48.638826667,8.942731833,459.29998779,0.148,12.592,0.064
1100,2,48.638826833,8.942731833,459.3999939,0.182,12.592,0.083
1200,2,48.6388265,8.942732,459.3999939,-0.011,12.591,0.154
1300,2,48.638826667,8.942731833,459.29998779,0.026,12.59,0.163
1400,2,48.6388265,8.942732167,459.29998779,0.156,12.59,0.118
1500,2,48.6388265,8.942732,459.29998779,0.058,12.592,0.054
1600,2,48.6388265,8.942732,459.29998779,0.026,12.592,0.034
1700,2,48.638826333,8.942732,459.29998779,0.026,12.593,0.046
1800,2,48.6388265,8.942732,459.29998779,-0.095,12.592,0.092
2000,2,48.638826333,8.942731667,459.29998779,0.071,12.591,0.165
2100,2,48.638826167,8.942732,459.3999939,0.04,12.59,0.211
2200,2,48.6388265,8.942731833,459.3999939,-0.058,12.59,0.211
2300,2,48.6388265,8.942731833,459.3999939,0.016,12.591,0.153
2400,2,48.638826333,8.942732,459.3999939,0.092,12.592,0.102
2500,2,48.638826333,8.942731833,459.3999939,0.071,12.592,0.042
2600,2,48.638826333,8.942732,459.3999939,0.103,12.592,0.042
2700,2,48.638826333,8.942731833,459.3999939,0.129,12.592,0.04
2800,2,48.6388265,8.942731833,459.3999939,0.087,12.592,0.042
3000,2,48.638826167,8.942731833,459.29998779,0.048,12.592,0.043
3100,2,48.638826167,8.942731833,459.29998779,0.114,12.592,0.043
3200,2,48.638826333,8.942732,459.29998779,0.087,12.592,0.044
3300,2,48.638826167,8.942732,459.29998779,0.079,12.592,0.047
3400,2,48.638826167,8.942731833,459.29998779,0.032,12.592,0.046
3500,2,48.638826167,8.942732,459.29998779,0.0,12.592,0.039
3600,2,48.638826167,8.942731833,459.29998779,-0.026,12.592,0.031
3700,2,48.638826167,8.942731833,459.29998779,0.09,12.592,0.031
3800,2,48.638826,8.942732,459.29998779,0.037,12.592,0.035
4000,2,48.638825833,8.942732,459.29998779,0.116,12.592,0.039
4100,2,48.638825833,8.942732,459.29998779,-0.016,12.591,0.038
4200,2,48.638825667,8.942731833,459.29998779,-0.063,12.591,0.041
4300,2,48.638825833,8.942731667,459.29998779,0.055,12.592,0.038
4400,2,48.638826,8.942731667,459.29998779,0.114,12.592,0.033
4500,2,48.638825833,8.942731667,459.20001221,-0.032,12.592,0.035
4600,2,48.638825833,8.942731833,459.29998779,-0.011,12.592,0.035
4700,2,48.638826,8.942731667,459.29998779,-0.011,12.592,0.039
4800,2,48.638826,8.942731667,459.29998779,-0.063,12.592,0.04
5000,2,48.638826,8.942731833,459.29998779,0.048,12.592,0.045
5100,2,48.638825833,8.9427315,459.29998779,0.037,12.592,0.037
5200,2,48.638825833,8.942731833,459.29998779,0.034,12.591,0.036
5300,2,48.638825833,8.942731667,459.29998779,0.092,12.592,0.032
5400,2,48.638825833,8.942731833,459.29998779,-0.016,12.591,0.038
5500,2,48.638825833,8.942732167,459.29998779,-0.032,12.592,0.038
5600,2,48.638825667,8.942732167,459.29998779,0.005,12.591,0.039
5700,2,48.638825667,8.942732333,459.29998779,-0.037,12.59,0.046
5800,2,48.638825667,8.942732167,459.29998779,-0.042,12.59,0.044
6000,2,48.638825333,8.9427325,459.29998779,0.016,12.591,0.041
6100,2,48.6388255,8.942732333,459.29998779,0.008,12.591,0.041
6200,2,48.6388255,8.942732333,459.29998779,0.037,12.591,0.047
6300,2,48.638825167,8.9427325,459.29998779,0.159,12.592,0.048
6400,2,48.638825333,8.942732667,459.29998779,0.024,12.592,0.046
6500,2,48.638825167,8.942732833,459.29998779,0.016,12.592,0.05
6600,2,48.638825,8.942732833,459.29998779,0.082,12.592,0.038
6700,2,48.638824833,8.9427335,459.29998779,0.127,12.591,0.033
6800,2,48.638824667,8.9427335,459.29998779,-0.021,12.592,0.029
7000,2,48.638824333,8.9427335,459.29998779,-0.048,12.592,0.035
7100,2,48.638824333,8.942733667,459.29998779,0.026,12.592,0.038
7200,2,48.6388245,8.942733667,459.29998779,0.085,12.592,0.041
7300,2,48.638824333,8.942733833,459.29998779,0.14,12.593,0.042
7400,2,48.638824333,8.942733667,459.29998779,0.116,12.592,0.041
7500,2,48.6388245,8.942733333,459.29998779,-0.005,12.592,0.037
7600,2,48.6388245,8.942733333,459.29998779,0.098,12.592,0.035
7700,2,48.6388245,8.9427335,459.20001221,0.055,12.592,0.037
7800,2,48.6388245,8.9427335,459.20001221,0.003,12.591,0.037
7900,2,48.638824333,8.942733333,459.20001221,0.042,12.591,0.039
8000,2,48.638824167,8.9427335,459.20001221,0.018,12.592,0.044
8100,2,48.638824,8.942733833,459.1000061,0.103,12.591,0.041
8200,2,48.638824,8.942734,459.1000061,0.063,12.591,0.041
8300,2,48.638824,8.9427345,459.1000061,-0.053,12.591,0.036
8400,2,48.638824,8.942734833,459.1000061,0.169,12.591,0.041
8500,2,48.638824,8.942735,459.1000061,0.135,12.592,0.041
8600,2,48.638824,8.942735167,459.1000061,0.095,12.592,0.038
8700,2,48.638824,8.942735333,459.1000061,0.021,12.592,0.04
8800,2,48.638824167,8.942735333,459.1000061,-0.026,12.592,0.046
9000,2,48.638824167,8.9427355,459.1000061,0.008,12.592,0.045
9100,2,48.638824167,8.9427355,459.0,-0.011,12.592,0.037
9200,2,48.638824333,8.942735167,459.0,0.061,12.592,0.03
9300,2,48.638824667,8.942734667,459.0,0.077,12.593,0.035
9400,2,48.638824833,8.9427345,459.0,0.048,12.592,0.036
9600,2,48.638825167,8.942734167,459.0,0.172,12.592,0.035
9700,2,48.638825167,8.942734,459.0,0.048,12.592,0.035
9800,2,48.638825333,8.942733833,459.0,0.116,12.592,0.034
10000,2,48.6388255,8.942733833,459.0,-0.011,12.592,0.039
10100,2,48.638825667,8.942733667,459.0,-0.016,12.592,0.039
10200,2,48.638825667,8.9427335,459.0,-0.032,12.592,0.038
