Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.638823,8.9427465,459.3999939,357.241,12.542,0.058
600,2,48.638822833,8.942746667,459.5,359.999,12.538,0.064
800,2,48.638823,8.9427465,459.5,360.012,12.539,0.076
900,2,48.638822833,8.942746667,459.5,359.983,12.541,0.086
1000,2,48.638823,8.942746667,459.5,359.859,12.543,0.093
1200,2,48.638823,8.942746667,459.5,359.981,12.542,0.085
1300,2,48.638823167,8.942746833,459.5,359.968,12.541,0.073
1500,2,48.638823167,8.942747,459.5,359.975,12.541,0.079
1600,2,48.638823333,8.942747167,459.3999939,360.036,12.542,0.105
1800,2,48.638823333,8.942747333,459.3999939,359.957,12.541,0.11
1900,2,48.638823333,8.9427475,459.3999939,360.015,12.541,0.102
2100,2,48.638823333,8.9427475,459.3999939,360.047,12.541,0.061
2300,2,48.6388235,8.942747667,459.3999939,359.997,12.541,0.061
2500,2,48.6388235,8.942747833,459.3999939,360.076,12.541,0.057
2600,2,48.6388235,8.942748,459.3999939,359.989,12.541,0.057
2800,2,48.6388235,8.942748,459.3999939,360.026,12.542,0.062
3000,2,48.6388235,8.942748167,459.3999939,359.999,12.54,0.058
3200,2,48.6388235,8.942748167,459.3999939,359.912,12.542,0.057
3400,2,48.6388235,8.942748333,459.3999939,359.962,12.542,0.055
3500,2,48.6388235,8.942748333,459.3999939,359.983,12.541,0.049
3700,2,48.6388235,8.942748333,459.3999939,360.063,12.54,0.053
3900,2,48.638823667,8.9427485,459.3999939,360.034,12.542,0.061
4000,2,48.638823667,8.9427485,459.29998779,359.87,12.541,0.053
4200,2,48.638823667,8.9427485,459.29998779,359.933,12.54,0.054
4300,2,48.638823667,8.9427485,459.29998779,360.026,12.541,0.053
4400,2,48.638823667,8.9427485,459.29998779,360.005,12.542,0.053
4500,2,48.638823667,8.9427485,459.29998779,359.962,12.543,0.047
4600,2,48.638823667,8.9427485,459.29998779,360.092,12.542,0.048
4700,2,48.638823667,8.9427485,459.29998779,360.042,12.541,0.043
4800,2,48.638823667,8.9427485,459.29998779,360.1,12.542,0.048
4900,2,48.638823667,8.942748333,459.29998779,360.126,12.542,0.045
5000,2,48.638823667,8.942748333,459.29998779,359.973,12.542,0.052
